Timestamp,Fav genre,Age group
9/5/2022 12:10:54,Pop,Jóvenes adultos
9/5/2022 21:56:50,Rock,Niños
9/6/2022 9:40:57,Pop,Jóvenes adultos
9/6/2022 10:12:09,Rock,Jóvenes adultos
9/6/2022 11:15:37,Rock,Adultos
9/6/2022 11:19:55,Rock,Jóvenes adultos
9/6/2022 12:36:19,Pop,Jóvenes adultos
9/6/2022 14:43:07,Metal,Jóvenes adultos
9/6/2022 15:53:44,Rock,Jóvenes
9/6/2022 19:27:55,Rock,Adultos
9/7/2022 9:16:47,Rock,Jóvenes adultos
9/7/2022 21:19:11,Pop,Jóvenes
9/8/2022 18:12:17,Rock,Adultos
9/8/2022 18:14:01,Metal,Jóvenes adultos
9/9/2022 7:48:44,Pop,Jóvenes adultos
9/9/2022 11:15:23,Rock,Adultos
9/10/2022 9:06:07,Rock,Adultos
9/10/2022 22:08:18,Rock,Jóvenes adultos
9/12/2022 9:39:30,Pop,Jóvenes
9/12/2022 11:45:04,Rock,Jóvenes adultos
9/12/2022 12:09:32,Rock,Jóvenes adultos
9/12/2022 12:14:25,Metal,Adultos
9/12/2022 12:15:54,Rock,Jóvenes
9/12/2022 12:46:55,Rock,Jóvenes
9/12/2022 13:46:34,Rock,Jóvenes
9/12/2022 13:55:53,Metal,Jóvenes
9/12/2022 14:20:17,Metal,Jóvenes adultos
9/12/2022 14:29:16,Rock,Adultos
9/12/2022 14:44:24,Rock,Jóvenes adultos
9/12/2022 15:12:27,Metal,Niños
9/12/2022 16:24:44,Rock,Jóvenes
9/12/2022 18:10:24,Rock,Jóvenes adultos
9/12/2022 18:54:01,Rock,Adultos
9/12/2022 19:03:41,Metal,Jóvenes
9/12/2022 19:41:23,Metal,Adultos
9/12/2022 22:26:06,Metal,Jóvenes adultos
9/12/2022 23:56:16,Metal,Adultos
9/13/2022 1:57:14,Metal,Adultos
9/13/2022 2:17:14,Pop,Jóvenes adultos
9/13/2022 4:45:33,Pop,Jóvenes adultos
9/13/2022 7:06:03,Metal,Jóvenes adultos
9/13/2022 7:12:07,Rock,Adultos
9/13/2022 8:36:33,Pop,Jóvenes
9/13/2022 9:29:29,Rock,Jóvenes adultos
9/13/2022 11:16:37,Rock,Adultos
9/13/2022 13:18:32,Rock,Jóvenes adultos
9/13/2022 13:58:18,Pop,Jóvenes adultos
9/13/2022 16:16:16,Rock,Jóvenes adultos
9/13/2022 22:19:10,Rock,Jóvenes
9/13/2022 23:06:06,Metal,Jóvenes
9/14/2022 0:58:57,Metal,Adultos
9/14/2022 9:56:39,Rock,Jóvenes
9/14/2022 12:44:04,Rock,Jóvenes adultos
9/15/2022 0:33:58,Rock,Niños
9/15/2022 9:41:28,Rock,Jóvenes adultos
9/15/2022 11:09:46,Pop,Jóvenes adultos
9/16/2022 1:47:01,Pop,Jóvenes adultos
9/16/2022 21:55:32,Metal,Jóvenes adultos
9/18/2022 20:32:27,Rock,Jóvenes
9/19/2022 20:09:43,Rock,Jóvenes
9/27/2022 11:46:56,Pop,Jóvenes
9/27/2022 13:32:27,Pop,Jóvenes
9/29/2022 17:54:15,Rock,Jóvenes
10/3/2022 9:30:19,Metal,Jóvenes
10/3/2022 10:00:01,Pop,Jóvenes
10/3/2022 10:25:46,Rock,Jóvenes adultos
10/3/2022 13:01:06,Metal,Jóvenes adultos
10/3/2022 13:47:14,Pop,Jóvenes
10/3/2022 15:38:19,Rock,Jóvenes adultos
10/4/2022 4:50:49,Rock,Jóvenes
10/4/2022 8:12:33,Metal,Jóvenes
10/4/2022 8:53:39,Rock,Jóvenes adultos
10/4/2022 14:50:28,Pop,Jóvenes
10/4/2022 19:43:11,Pop,Jóvenes adultos
10/5/2022 8:58:16,Metal,Jóvenes
10/5/2022 12:30:23,Rock,Jóvenes adultos
10/6/2022 3:35:11,Metal,Jóvenes
10/11/2022 15:46:46,Pop,Jóvenes
10/14/2022 18:01:12,Pop,Jóvenes
10/14/2022 20:42:26,Pop,Jóvenes
10/15/2022 14:00:55,Pop,Jóvenes
10/26/2022 19:45:54,Metal,Jóvenes adultos
10/30/2022 13:13:32,Pop,Jóvenes adultos
10/30/2022 14:37:28,Rock,Jóvenes
11/1/2022 22:26:42,Pop,Jóvenes
